"filename", "language", "Markdown", "C", "C++", "Makefile", "CMake", "Python", "YAML", "Ruby", "Shell Script", "Properties", "Handlebars", "JSON", "reStructuredText", "HTML", "JavaScript", "CSS", "pip requirements", "comment", "blank", "total"
"c:\Users\slj\Desktop\Elabel\components\ui\images\ui_img_activate2_png.c", "C", 0, 491, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 5, 501
"c:\Users\slj\Desktop\Elabel\components\ui\images\ui_img_activate3_png.c", "C", 0, 491, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 5, 501
"c:\Users\slj\Desktop\Elabel\components\ui\images\ui_img_battery_png.c", "C", 0, 158, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 6, 169
"c:\Users\slj\Desktop\Elabel\components\ui\images\ui_img_cancel_n_png.c", "C", 0, 40, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 5, 50
"c:\Users\slj\Desktop\Elabel\components\ui\images\ui_img_cancel_y_png.c", "C", 0, 40, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 5, 50
"c:\Users\slj\Desktop\Elabel\components\ui\images\ui_img_connectwifi_png.c", "C", 0, 491, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 5, 501
"c:\Users\slj\Desktop\Elabel\components\ui\images\ui_img_disconnectwifi_png.c", "C", 0, 491, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 5, 501
"c:\Users\slj\Desktop\Elabel\components\ui\images\ui_img_finish_n_png.c", "C", 0, 40, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 5, 50
"c:\Users\slj\Desktop\Elabel\components\ui\images\ui_img_finish_y_png.c", "C", 0, 40, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 5, 50
"c:\Users\slj\Desktop\Elabel\components\ui\images\ui_img_halfmind_png.c", "C", 0, 182, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 5, 192
"c:\Users\slj\Desktop\Elabel\components\ui\images\ui_img_hostactive_png.c", "C", 0, 491, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 5, 501
